GeoHash,ident,type,name,latitude_deg,longitude_deg
4qrwvfc2dy7tgp3yysmj5,AR-0509,small_airport,Rio Chico Highway Strip,-53.642,-67.9486
4qry4646hw1gunqrwbn77,SAWE,medium_airport,Gobernador Ramón Trejo Noel International Airport,-53.7777,-67.7494
4qtcpc7neyucews7cj27u,SCFM,medium_airport,Captain Fuentes Martinez Airport,-53.2537,-70.319199
4qtd7xjm2nvew5beveuf6,SCCI,medium_airport,President Carlos Ibañez del Campo International Airport,-53.002602,-70.854599
4qtejvnyxp50rr5pw8tdr,SCID,small_airport,Marco Davison Bascur Airport,-52.881537,-70.753365
4qttnwh6jfw0hn56kkyzd,SCTH,small_airport,Tres Chorrillos Airport,-52.525278,-70.723889
4qtuz175vm2h70q1z91gd,CL-0004,small_airport,Cinco de Enero Airport,-52.595,-70.3521
4qtv4fvux6gczjnt8kq07,CL-0005,small_airport,Oazy Harbour Airport,-52.5427,-70.535
4qu6j99utbzxkz3n3gq30,SCNT,medium_airport,Lieutenant Julio Gallardo Airport,-51.67067,-72.529078
4qucfru932cx1gq4yx98b,AR-0155,small_airport,Estancia Santa Ana Airport,-51.680841,-71.9652
4qudktdg14c0qc74s9sw5,SAWT,small_airport,28 de Noviembre Airport,-51.605,-72.2203
4qudn3zm3skd8sq5jntyr,AR-0714,small_airport,Rospentek Airport,-51.66915,-72.13719
4qus3umgtd19jtd2ycp97,SCPY,small_airport,Cerro Castillo Airport,-51.260222,-72.336836
4quvtfe3vzmjqysrduerw,AR-0715,small_airport,Estancia Tapi Aike Airport,-51.05038,-71.81291
4qvjtmkxw7nf8xu4qjqfe,AR-0716,small_airport,Fuentes de Coyle Airport,-51.03431,-71.48158
4qw4wrgdv80htvf32jbrt,SCIT,small_airport,Iván Martinez Airport,-52.955002,-70.032799
4qw8r4nrup469d97x43y7,CL-0006,small_airport,Onaisin Airport,-53.3812,-69.293
4qweyr8f3yywb0rrd57d7,SCSB,small_airport,Franco Bianco Airport,-52.736698,-69.333603
4qwx6qd9b5ex4fzf1sjcx,AR-0685,small_airport,Monte Aymond Airport,-52.12706,-69.50706
4qwyx2kt8504h5mmpp5mj,SCBS,small_airport,Posesión Airport,-52.292588,-68.933029
4qx0twj68gjbfe2x5jtbf,SCSS,small_airport,San Sebastián Airport,-53.316205,-68.657301
4qx6g3zjg832z944my7nz,AR-0507,small_airport,Estancia Cullen South Airport,-52.9435,-68.4021
4qx75hmwpzx2e7qen86ct,AR-0001,small_airport,Cullen Airport,-52.88574,-68.414956
4qx80c421c2bb0fkthjcx,AR-0508,small_airport,Estancia Sara Airport,-53.432,-68.167
4qxj589ugefgyjfysnn7c,SCPX,small_airport,Punta Catalina Airport,-52.555011,-68.749884
4qy59gfc18ge6jc8u14nf,AR-0713,small_airport,Las Horquetas Airport,-51.39524,-70.23175
4qydpccy28yg36hu4dzz3,AR-0316,small_airport,Rio Chico Airport,-51.668997,-69.266365
4qydqubh77erzk6d95vbe,SAWG,medium_airport,Piloto Civil N. Fernández Airport,-51.6089,-69.3126
4qysfy0w7f44g0gs966yv,AR-0579,small_airport,Coy Aike Airport,-51.162246,-69.487675
4r7vsh1jw91mzbw1m55er,SCTP,small_airport,Río Pascua Airport,-48.22903,-73.299127
4r7yzxe7mb9r2qxvt5v8t,SCRB,small_airport,Río Bravo Airport,-47.990466,-73.142261
4re8nswuh6b60tqpf687t,SCCR,small_airport,Enrique Mayer Soto Airport,-47.787079,-73.533028
4reqxt8hf2fq3cut2pk00,SCRF,small_airport,Laguna San Rafael Airport,-46.638889,-73.849998
4rgb73s6dutgb7ww8xbm0,SCEX,small_airport,Río Exploradores Airport,-46.353611,-73.327778
4rgutwqf0bs086h4nhmjx,SCQO,small_airport,Quitralco Airport,-45.580556,-73.225556
4rgxphv7k1y4xf9rvx425,SCIH,small_airport,Caleta Andrade Airport,-45.149121,-73.513118
4rhcbqu8109zd6urhn159,SAWC,medium_airport,El Calafate - Commander Armando Tola International Airport,-50.2803,-72.053101
4rhfpf1qtff5wqmrfw5s8,AR-0717,small_airport,Estancia Río Bote Airport,-50.26132,-71.72777
4rhnzv512zk39shw6bh78,AR-0757,small_airport,Estancia San José Airstrip,-49.410757,-72.780266
4rhptmn0t39t9150v84z6,AR-0730,small_airport,El Chaltén North Airport,-49.27908,-72.88582
4rhqjy2efhzn41kne7v0b,AR-0496,small_airport,Aeroclub de El Chaltén Alf. G.N.A. Walter Omar D Anna,-49.53531,-72.51997
4rj3zrh5nsc3htur0zexj,AR-0718,small_airport,Gendarme Barreto West Airport,-50.27839,-71.04281
4rj9ft3jd79ksw6qppf7q,AR-0719,small_airport,Gendarme Barreto Airport,-50.28758,-70.90429
4rk1x7uvnpc6md4mgz1wj,SCIO,small_airport,Laguna Redonda Airport,-48.93357849,-72.79961395
